case_id,dataset,fit_fraction,fit_samples,pseudo_samples,prior_name,ar_order,n_metrics,n_scored_metrics,metric_failures,median_metric_log_bf,p90_metric_log_bf,max_metric_log_bf,positive_metric_fraction,strong_metric_fraction,n_services,median_service_log_bf,p90_service_log_bf,max_service_log_bf,positive_service_fraction,strong_service_fraction,top_service,pre_unstable_metric_fraction,post_unstable_metric_fraction,shared_unstable_metric_fraction
re1_tt__ts-travel-service_disk__5,re1_tt,0.6,216,144,reference,3,1445,1445,0,-17.06016672971583,20.491058837966122,5084.902025568072,0.15501730103806227,0.1467128027681661,72,46.936912945695944,361.22144129608347,4806.195861818898,0.7916666666666666,0.7777777777777778,ts-execute-service,0.01522491349480969,0.007612456747404845,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.6,216,144,strong,3,1445,1445,0,-32.738418740727354,6.743506205386611,4946.697943847956,0.12110726643598616,0.11141868512110727,72,33.35948111618822,306.5076004079496,4668.116404025854,0.7361111111111112,0.7222222222222222,ts-execute-service,0.008304498269896194,0.006228373702422145,0.007612456747404845
re1_tt__ts-travel-service_loss__1,re1_tt,0.4,192,288,weak,3,1248,1248,0,-21.16058038162702,48.88320302862236,5680.240577387867,0.17227564102564102,0.16346153846153846,70,99.63100317604824,1610.198445359563,4112.518678933964,0.7857142857142857,0.7857142857142857,ts-travel-mongo,0.023237179487179488,0.004807692307692308,0.003205128205128205
re1_tt__ts-travel-service_loss__1,re1_tt,0.4,192,288,reference,3,1248,1248,0,-24.467050945392543,38.40113444253069,5617.7994617204695,0.16666666666666666,0.16185897435897437,70,81.1059340521058,1592.4067584459167,4050.0811569089506,0.7857142857142857,0.7857142857142857,ts-travel-mongo,0.023237179487179488,0.004006410256410256,0.003205128205128205
re1_tt__ts-travel-service_loss__1,re1_tt,0.4,192,288,strong,3,1248,1248,0,-54.43857190513365,13.776333002508913,5497.020717148869,0.12980769230769232,0.12580128205128205,70,49.693208267441115,1553.173145894022,3929.322371831524,0.7285714285714285,0.7285714285714285,ts-travel-mongo,0.023237179487179488,0.002403846153846154,0.003205128205128205
re1_tt__ts-travel-service_loss__1,re1_tt,0.5,240,240,weak,3,1248,1248,0,-21.838147221992806,32.482587514484926,7158.575729268721,0.16266025641025642,0.15544871794871795,70,80.88849483654609,2026.3825895173668,3464.718434273697,0.8,0.8,ts-travel-mongo,0.017628205128205128,0.004807692307692308,0.003205128205128205
re1_tt__ts-travel-service_loss__1,re1_tt,0.5,240,240,reference,3,1248,1248,0,-28.019933253535527,18.98272213328615,7079.5209139465,0.15384615384615385,0.14262820512820512,70,59.37070902042689,2001.2032414614157,3380.499369703532,0.7714285714285715,0.7714285714285715,ts-travel-mongo,0.016025641025641024,0.004807692307692308,0.003205128205128205
re1_tt__ts-travel-service_loss__1,re1_tt,0.5,240,240,strong,3,1248,1248,0,-64.61269020774955,6.461998556680619,6925.598348302237,0.11458333333333333,0.10737179487179487,70,40.74606929876131,1941.0094886958664,3218.083179861909,0.7,0.7,ts-travel-mongo,0.01282051282051282,0.003205128205128205,0.003205128205128205
re1_tt__ts-travel-service_loss__1,re1_tt,0.6,288,192,weak,3,1248,1248,0,-22.897453759266114,43.159212189294976,7697.635492760895,0.15705128205128205,0.14583333333333334,70,89.26369534917558,929.6151901731433,4048.5273870282394,0.7857142857142857,0.7714285714285715,ts-travel-mongo,0.020833333333333332,0.004807692307692308,0.003205128205128205
re1_tt__ts-travel-service_loss__1,re1_tt,0.6,288,192,reference,3,1248,1248,0,-29.92195774126813,27.524193300301704,7601.927074581227,0.15224358974358973,0.14182692307692307,70,78.64054225879603,893.6141330791247,3959.8892113286797,0.7714285714285715,0.7285714285714285,ts-travel-mongo,0.019230769230769232,0.003205128205128205,0.003205128205128205
